survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
440,0,Bundestag,Bundestag,GMS,GMS,Unbekannt,2017-03-23,2017-03-16,2017-03-22,1008,7,AfD,Alternative für Deutschland,9.0,DAWUM
441,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-03-23,2017-03-17,2017-03-20,1055,7,AfD,Alternative für Deutschland,11.0,DAWUM
443,0,Bundestag,Bundestag,Infratest dimap,ARD-Morgenmagazin,Unbekannt,2017-03-24,2017-03-20,2017-03-22,1023,7,AfD,Alternative für Deutschland,11.0,DAWUM
444,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-03-26,2017-03-16,2017-03-22,2450,7,AfD,Alternative für Deutschland,9.0,DAWUM
445,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-03-27,2017-03-24,2017-03-27,2034,7,AfD,Alternative für Deutschland,11.0,DAWUM
446,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-03-28,2017-03-21,2017-03-27,7524,7,AfD,Alternative für Deutschland,10.0,DAWUM
447,0,Bundestag,Bundestag,Allensbach,Frankfurter Allgemeine Zeitung,Unbekannt,2017-03-28,2017-03-06,2017-03-19,1397,7,AfD,Alternative für Deutschland,7.0,DAWUM
448,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-03-29,2017-03-20,2017-03-24,2501,7,AfD,Alternative für Deutschland,7.0,DAWUM
449,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-04-02,2017-03-23,2017-03-29,2416,7,AfD,Alternative für Deutschland,8.0,DAWUM
451,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-04-03,2017-03-31,2017-04-03,2033,7,AfD,Alternative für Deutschland,9.0,DAWUM
452,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-04-04,2017-03-27,2017-03-31,2504,7,AfD,Alternative für Deutschland,8.0,DAWUM
453,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-04-04,2017-03-30,2017-04-03,7544,7,AfD,Alternative für Deutschland,8.2,DAWUM
454,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-04-06,2017-03-31,2017-04-03,1046,7,AfD,Alternative für Deutschland,10.0,DAWUM
456,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-04-07,2017-04-04,2017-04-06,1384,7,AfD,Alternative für Deutschland,9.0,DAWUM
457,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-04-09,2017-03-30,2017-04-05,1958,7,AfD,Alternative für Deutschland,9.0,DAWUM
459,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-04-10,2017-04-07,2017-04-10,2030,7,AfD,Alternative für Deutschland,10.0,DAWUM
460,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-04-11,2017-04-03,2017-04-07,2502,7,AfD,Alternative für Deutschland,8.0,DAWUM
461,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-04-11,2017-04-04,2017-04-10,7544,7,AfD,Alternative für Deutschland,9.0,DAWUM
463,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-04-13,2017-04-10,2017-04-12,1502,7,AfD,Alternative für Deutschland,11.0,DAWUM
465,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-04-16,2017-04-06,2017-04-12,2436,7,AfD,Alternative für Deutschland,9.0,DAWUM
466,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-04-19,2017-04-14,2017-04-18,2038,7,AfD,Alternative für Deutschland,10.0,DAWUM
467,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-04-19,2017-04-10,2017-04-13,2007,7,AfD,Alternative für Deutschland,8.0,DAWUM
