article_id,date,year_month,month_dt,year,month_num,publication,publication_normalized,word_count,body_char_count,word_count_used,corpus_type,corpus_name,batch_id,source_archive,migration_terms_count,migration_terms_per_1000_words,has_migration_terms,security_terms_count,security_terms_per_1000_words,has_security_terms,afd_far_right_terms_count,afd_far_right_terms_per_1000_words,has_afd_far_right_terms,remigration_democracy_terms_count,remigration_democracy_terms_per_1000_words,has_remigration_democracy_terms,negative_threat_terms_count,negative_threat_terms_per_1000_words,has_negative_threat_terms,security_share_of_migration_context,afd_mentions_binary,remigration_democracy_binary,negative_threat_intensity
a326c36011f0bb8fa20259b8edf8089e92208144,2013-01-17,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,297,2095,297,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,5,16.835016835016834,1,0,0.0,0,0,0.0,0,0,0.0,0,1,3.367003367003367,1,0.0,0,0,3.367003367003367
a6c889a9d1825d5a1b05fc84c12e77e9dd683a7a,2013-01-22,2013-01,2013-01-01,2013,1,Rheinische Post,rheinische post,166,1223,166,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,5,30.120481927710845,1,0,0.0,0,0,0.0,0,0,0.0,0,1,6.024096385542169,1,0.0,0,0,6.024096385542169
ad42e2bc3804fb3ef9fcee001915eac488fcac32,2013-01-09,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,507,3419,507,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,9,17.75147928994083,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1.9723865877712032,1,0.0,0,0,1.9723865877712032
b8d7c255a18653e3fcaddc8bd8d5127ca4b66343,2013-01-13,2013-01,2013-01-01,2013,1,Welt am Sonntag,welt am sonntag,133,945,133,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,1,7.518796992481203,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
bc0e2f32a088e3a44a944b45c2c5914dc02dfcab,2013-01-31,2013-01,2013-01-01,2013,1,Die Welt,die welt,519,3943,519,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,8,15.414258188824663,1,0,0.0,0,0,0.0,0,1,1.9267822736030829,1,6,11.560693641618498,1,0.0,0,1,11.560693641618498
c5afbadea8134f5d01a580e9aa135f5140902cec,2013-01-29,2013-01,2013-01-01,2013,1,Rheinische Post,rheinische post,354,2700,354,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,8,22.598870056497177,1,0,0.0,0,1,2.824858757062147,1,0,0.0,0,3,8.474576271186441,1,0.0,1,0,8.474576271186441
c8443d3d3e0fef1bef5685734204b4f726823c2b,2013-01-18,2013-01,2013-01-01,2013,1,Die Welt,die welt,649,4879,649,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,6,9.244992295839754,1,12,18.48998459167951,1,0,0.0,0,0,0.0,0,2,3.0816640986132513,1,2.0,0,0,3.0816640986132513
cbf5b8b96b69efafd5d0cfebf93eefb4698bb809,2013-01-23,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,330,2449,330,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2,6.0606060606060606,1,0,0.0,0,0,0.0,0,0,0.0,0,1,3.0303030303030303,1,0.0,0,0,3.0303030303030303
cf585f13ebc24c96f8d17e22d9a9426446aa8712,2013-01-05,2013-01,2013-01-01,2013,1,Berliner Zeitung,berliner zeitung,247,1701,247,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,1,4.048582995951417,1,0,0.0,0,0,0.0,0,0,0.0,0,1,4.048582995951417,1,0.0,0,0,4.048582995951417
d27aed72468ab6b3a88bfb697df9459eabc0b6f8,2013-01-03,2013-01,2013-01-01,2013,1,Rheinische Post,rheinische post,181,1314,181,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,11,60.773480662983424,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
