month,year_month,month_dt,year,month_num,text_indicator_month_has_articles,n_articles_text_indicators,mean_word_count,median_word_count,total_word_count,migration_terms_per_1000_mean,migration_terms_total,share_articles_with_migration_terms,security_terms_per_1000_mean,security_terms_total,share_articles_with_security_terms,afd_far_right_terms_per_1000_mean,afd_far_right_terms_total,share_articles_with_afd_far_right_terms,remigration_democracy_terms_per_1000_mean,remigration_democracy_terms_total,share_articles_with_remigration_democracy_terms,negative_threat_terms_per_1000_mean,negative_threat_terms_total,share_articles_with_negative_threat_terms,security_share_of_migration_context_mean,migration_terms_per_1000_median,security_terms_per_1000_median,afd_far_right_terms_per_1000_median,remigration_democracy_terms_per_1000_median,negative_threat_terms_per_1000_median
2014-03,2014-03,2014-03-01,2014,3,True,46,555.1304347826087,481.5,25536,27.361965651693733,639,1.0,4.529441017435084,125,0.6304347826086957,0.6666679758414105,22,0.17391304347826086,0.40242829677273617,12,0.1956521739130435,3.917390792202588,104,0.717391304347826,0.39399665967711983,27.731929425156515,1.7728140139001078,0.0,0.0,3.1975318731611635
2014-04,2014-04,2014-04-01,2014,4,True,48,580.0208333333334,520.0,27841,26.359753092710093,697,1.0,7.80853307624929,189,0.6458333333333334,0.1120621590522332,4,0.0625,0.28849441154122946,10,0.125,5.095112325283742,141,0.8333333333333334,0.4300866316661154,24.44652839070315,3.771829195094491,0.0,0.0,3.926809210526316
2014-05,2014-05,2014-05-01,2014,5,True,45,487.8888888888889,380.0,21955,33.38992099003754,672,1.0,8.367292843125448,155,0.6,0.6842036859734322,14,0.15555555555555556,0.2626118175982739,5,0.08888888888888889,3.007139834854162,63,0.6444444444444445,0.31510381861198555,32.098765432098766,2.735978112175103,0.0,0.0,1.9305019305019304
2014-06,2014-06,2014-06-01,2014,6,True,49,631.9591836734694,530.0,30966,29.512863947133987,854,1.0,6.282109981995689,196,0.7551020408163265,0.20363276368365368,8,0.08163265306122448,0.08592557257589764,4,0.061224489795918366,3.261594465176197,106,0.7346938775510204,0.28231329373293407,26.829268292682926,4.149377593360996,0.0,0.0,2.785515320334262
2014-07,2014-07,2014-07-01,2014,7,True,44,636.4090909090909,472.0,28002,31.423523760918627,811,1.0,7.289569003169876,179,0.75,0.386266153829021,10,0.18181818181818182,0.539265900124102,12,0.22727272727272727,3.7297698806880404,112,0.7272727272727273,0.3111981902625786,32.14880698324407,3.714296889514702,0.0,0.0,3.571474125945484
2014-08,2014-08,2014-08-01,2014,8,True,45,517.9555555555555,458.0,23308,33.878701303086466,758,1.0,4.143391061342559,100,0.4666666666666667,0.2228366055826991,4,0.06666666666666667,0.27328915331358544,6,0.1111111111111111,3.6490846527775647,87,0.6444444444444445,0.12189467214613414,33.248081841432224,0.0,0.0,0.0,2.6041666666666665
2014-09,2014-09,2014-09-01,2014,9,True,80,490.7,452.0,39256,34.87320357868216,1356,1.0,6.161400230852026,211,0.6375,0.4522812218142257,12,0.0875,0.36852285867306045,11,0.0625,3.1599618114262595,142,0.7,0.2072339957707529,34.25631786069888,3.048157640591338,0.0,0.0,2.8912757806583813
2014-10,2014-10,2014-10-01,2014,10,True,45,637.6666666666666,464.0,28695,37.683976759737625,983,1.0,3.8807116452744386,103,0.6,0.21457267896176688,8,0.1111111111111111,0.4725206850222051,10,0.2222222222222222,3.1686830545946547,100,0.6444444444444445,0.11873420698313814,37.634408602150536,2.032520325203252,0.0,0.0,2.1739130434782608
2014-11,2014-11,2014-11-01,2014,11,True,84,512.5119047619048,419.0,43051,27.67521389143089,1132,1.0,5.624190945501377,205,0.4880952380952381,1.5109909684615677,50,0.20238095238095238,0.41690376260412404,15,0.16666666666666666,3.1635634411748663,139,0.6785714285714286,0.29427617501110964,25.091287874451986,0.0,0.0,0.0,2.057926829268293
2014-12,2014-12,2014-12-01,2014,12,True,47,602.2978723404256,434.0,28308,32.11612882727,858,1.0,2.1097858018647964,55,0.3617021276595745,0.6095007273277233,22,0.1702127659574468,0.1928969538132318,7,0.10638297872340426,2.9193018361945366,90,0.6808510638297872,0.07610969156076369,26.845637583892618,0.0,0.0,0.0,2.272727272727273
