month,year_month,month_dt,year,month_num,tone_month_has_articles,n_articles_tone_indicators,tone_positive_terms_total,tone_negative_terms_total,tone_positive_terms_per_1000_mean,tone_negative_terms_per_1000_mean,tone_net_score_per_1000_mean,tone_negative_share_mean,share_articles_negative_tone,share_articles_positive_tone,share_articles_neutral_tone
2015-07,2015-07,2015-07-01,2015,7,True,78,164,180,3.3021833944753394,3.501131315956133,-0.19894792148079402,0.5194340528788689,0.4230769230769231,0.3076923076923077,0.2692307692307692
2015-08,2015-08,2015-08-01,2015,8,True,88,239,259,4.141333839029327,4.146261523104427,-0.004927684075100711,0.48605102201095024,0.4090909090909091,0.38636363636363635,0.20454545454545456
2015-09,2015-09,2015-09-01,2015,9,True,86,262,279,4.167656875437381,4.040512145240293,0.1271447301970875,0.4962405080204551,0.38372093023255816,0.36046511627906974,0.2558139534883721
2015-10,2015-10,2015-10-01,2015,10,True,85,234,297,4.102850075631614,4.78898020830351,-0.6861301326718962,0.5264424550337863,0.4235294117647059,0.3764705882352941,0.2
2015-11,2015-11,2015-11-01,2015,11,True,90,214,301,3.7866123103230143,4.79004358938281,-1.003431279059796,0.5553438382605049,0.5,0.3111111111111111,0.18888888888888888
2015-12,2015-12,2015-12-01,2015,12,True,91,170,242,3.35758690439585,3.6953454109078385,-0.3377585065119886,0.5189766887569085,0.38461538461538464,0.34065934065934067,0.27472527472527475
2016-01,2016-01,2016-01-01,2016,1,True,160,323,614,2.8558705454235165,5.73701788552629,-2.8811473401027743,0.6536179228927372,0.63125,0.23125,0.1375
2016-02,2016-02,2016-02-01,2016,2,True,85,244,282,3.660847447201896,4.271896204131597,-0.6110487569297011,0.5250497215203097,0.4235294117647059,0.3764705882352941,0.2
2016-03,2016-03,2016-03-01,2016,3,True,87,198,192,3.743851740732512,3.670287056917832,0.07356468381468038,0.4917153727498555,0.3563218390804598,0.39080459770114945,0.25287356321839083
2016-04,2016-04,2016-04-01,2016,4,True,48,86,101,2.7752823366555592,3.4942628108297007,-0.7189804741741411,0.5708151529842707,0.4166666666666667,0.3958333333333333,0.1875
2016-05,2016-05,2016-05-01,2016,5,True,47,110,96,3.5944430402097645,2.731400772370239,0.863042267839525,0.40062413945392666,0.2978723404255319,0.48936170212765956,0.2127659574468085
2016-06,2016-06,2016-06-01,2016,6,True,44,82,111,3.3637970810264575,4.345816905377958,-0.9820198243515006,0.5487283549783549,0.4318181818181818,0.29545454545454547,0.2727272727272727
2016-07,2016-07,2016-07-01,2016,7,True,46,89,137,3.1065252359360884,4.646353969592013,-1.5398287336559249,0.5551420198159329,0.45652173913043476,0.30434782608695654,0.2391304347826087
2016-08,2016-08,2016-08-01,2016,8,True,44,81,120,2.9077584808421157,4.108118809994152,-1.2003603291520362,0.6186434146661419,0.5227272727272727,0.3181818181818182,0.1590909090909091
2016-09,2016-09,2016-09-01,2016,9,True,46,155,134,4.493227782061242,4.047870788105529,0.4453569939557129,0.47981846399643574,0.391304347826087,0.45652173913043476,0.15217391304347827
2016-10,2016-10,2016-10-01,2016,10,True,45,102,125,3.0306461692930573,3.463197451032854,-0.4325512817397964,0.513119251119251,0.35555555555555557,0.3111111111111111,0.3333333333333333
2016-11,2016-11,2016-11-01,2016,11,True,49,80,122,3.104711382251829,4.175228775967913,-1.0705173937160841,0.5402364875354071,0.4489795918367347,0.32653061224489793,0.22448979591836735
2016-12,2016-12,2016-12-01,2016,12,True,47,80,160,2.454349742338993,4.746294260362219,-2.291944518023225,0.6068001443001443,0.5319148936170213,0.2127659574468085,0.2553191489361702
2017-01,2017-01,2017-01-01,2017,1,True,43,80,112,3.5970078248859436,4.322204774670185,-0.7251969497842418,0.589202399667516,0.5348837209302325,0.32558139534883723,0.13953488372093023
2017-02,2017-02,2017-02-01,2017,2,True,45,85,127,2.918526480560062,3.936008856966403,-1.0174823764063405,0.5263719828212582,0.4222222222222222,0.3111111111111111,0.26666666666666666
2017-03,2017-03,2017-03-01,2017,3,True,45,121,119,4.036721654520322,3.694773346557409,0.34194830796291353,0.4651014109347442,0.4,0.5111111111111111,0.08888888888888889
2017-04,2017-04,2017-04-01,2017,4,True,42,87,139,4.016848923744827,4.341161730182591,-0.3243128064377648,0.40997260015117154,0.30952380952380953,0.5238095238095238,0.16666666666666666
2017-05,2017-05,2017-05-01,2017,5,True,46,91,124,3.840326965438878,4.706691331854919,-0.8663643664160413,0.570328333629249,0.41304347826086957,0.32608695652173914,0.2608695652173913
2017-06,2017-06,2017-06-01,2017,6,True,41,90,109,2.7121926088689965,3.359477346010199,-0.6472847371412028,0.5464049500634867,0.4878048780487805,0.24390243902439024,0.2682926829268293
2017-07,2017-07,2017-07-01,2017,7,True,48,171,158,4.768667931072703,4.138423913919946,0.6302440171527565,0.46421611446282496,0.3541666666666667,0.5,0.14583333333333334
2017-08,2017-08,2017-08-01,2017,8,True,45,101,140,4.088674824301833,5.3566221781969965,-1.267947353895163,0.5467805034471701,0.5111111111111111,0.3111111111111111,0.17777777777777778
2017-09,2017-09,2017-09-01,2017,9,True,45,99,99,4.214261377341716,3.644290997669148,0.5699703796725677,0.54347035680369,0.4888888888888889,0.37777777777777777,0.13333333333333333
2017-10,2017-10,2017-10-01,2017,10,True,43,75,111,2.024143571091295,2.7356349940174836,-0.711491422926188,0.5549640965509638,0.5116279069767442,0.37209302325581395,0.11627906976744186
2017-11,2017-11,2017-11-01,2017,11,True,45,77,123,3.1364168867557427,4.689363218104584,-1.5529463313488412,0.5504814814814816,0.4666666666666667,0.3111111111111111,0.2222222222222222
2017-12,2017-12,2017-12-01,2017,12,True,45,79,116,3.2640690189804005,4.354475355976807,-1.0904063369964063,0.5455731922398589,0.4444444444444444,0.28888888888888886,0.26666666666666666
2018-01,2018-01,2018-01-01,2018,1,True,45,98,184,2.980821428673994,6.133816081204072,-3.152994652530077,0.6059446000622472,0.5111111111111111,0.24444444444444444,0.24444444444444444
2018-02,2018-02,2018-02-01,2018,2,True,44,117,192,4.16027256012653,6.943549106290425,-2.7832765461638944,0.5911525512241457,0.5454545454545454,0.36363636363636365,0.09090909090909091
2018-03,2018-03,2018-03-01,2018,3,True,81,156,224,3.2588606688834365,4.42439026393391,-1.165529595050474,0.5229142942105905,0.49382716049382713,0.30864197530864196,0.19753086419753085
2018-04,2018-04,2018-04-01,2018,4,True,83,128,193,2.954332003439863,3.7883515822719134,-0.8340195788320506,0.5386659190876057,0.43373493975903615,0.3132530120481928,0.25301204819277107
2018-05,2018-05,2018-05-01,2018,5,True,44,114,189,3.4438086578616987,5.8541110998159445,-2.410302441954246,0.6298102781057326,0.5681818181818182,0.25,0.18181818181818182
2018-06,2018-06,2018-06-01,2018,6,True,84,188,256,3.853664524695173,4.969035847805539,-1.115371323110367,0.534047457366785,0.4166666666666667,0.40476190476190477,0.17857142857142858
2018-07,2018-07,2018-07-01,2018,7,True,45,133,184,3.1593555674954787,4.613805515868527,-1.4544499483730482,0.6403438406846996,0.6,0.17777777777777778,0.2222222222222222
2018-08,2018-08,2018-08-01,2018,8,True,158,267,609,2.288746630082167,5.706419105490759,-3.4176724754085916,0.6457556032946948,0.6075949367088608,0.25316455696202533,0.13924050632911392
2018-09,2018-09,2018-09-01,2018,9,True,247,413,1075,2.0180952800685446,5.550669350370908,-3.5325740703023643,0.6975009353349458,0.6720647773279352,0.19433198380566802,0.13360323886639677
2018-10,2018-10,2018-10-01,2018,10,True,64,100,112,3.0548693475699826,3.3641996211952345,-0.309330273625252,0.46363720914502166,0.359375,0.390625,0.25
2018-11,2018-11,2018-11-01,2018,11,True,40,84,112,2.770410816650576,3.528761501812794,-0.7583506851622177,0.5445983877233878,0.475,0.35,0.175
2018-12,2018-12,2018-12-01,2018,12,True,48,103,78,4.244110108395729,3.013291767713382,1.2308183406823472,0.40227723665223664,0.20833333333333334,0.5625,0.22916666666666666
2019-01,2019-01,2019-01-01,2019,1,True,42,63,71,2.56820229063388,3.0264672789824325,-0.45826498834855256,0.48591269841269835,0.40476190476190477,0.38095238095238093,0.21428571428571427
2019-02,2019-02,2019-02-01,2019,2,True,75,158,189,3.44975630769189,3.25688225478889,0.19287405290299972,0.5057193449252273,0.4,0.44,0.16
2019-03,2019-03,2019-03-01,2019,3,True,76,169,207,2.9963427669062535,3.8325527985321224,-0.836210031625869,0.5410231216152269,0.4605263157894737,0.3684210526315789,0.17105263157894737
2019-04,2019-04,2019-04-01,2019,4,True,78,172,230,3.363503945779986,4.0180850956337855,-0.6545811498537997,0.5064275600663233,0.3974358974358974,0.38461538461538464,0.21794871794871795
2019-05,2019-05,2019-05-01,2019,5,True,54,104,167,2.9618601049696953,3.9073365240495463,-0.9454764190798515,0.5832751096639985,0.48148148148148145,0.3148148148148148,0.2037037037037037
2019-06,2019-06,2019-06-01,2019,6,True,57,114,142,3.610806270191559,3.635366224789169,-0.02455995459760935,0.5152768284347231,0.38596491228070173,0.3684210526315789,0.24561403508771928
2019-07,2019-07,2019-07-01,2019,7,True,48,143,157,4.670015824737523,4.415481373344856,0.25453445139266717,0.5174693362193362,0.4583333333333333,0.3958333333333333,0.14583333333333334
2019-08,2019-08,2019-08-01,2019,8,True,42,118,121,4.586118076464989,4.32205224210483,0.264065834360158,0.42933931148216864,0.35714285714285715,0.5238095238095238,0.11904761904761904
2019-09,2019-09,2019-09-01,2019,9,True,43,94,84,4.060601010261901,3.1035083799793584,0.9570926302825429,0.4456164636397195,0.3488372093023256,0.5116279069767442,0.13953488372093023
2019-10,2019-10,2019-10-01,2019,10,True,46,89,99,3.293577001151506,3.1350002281533436,0.15857677299816203,0.5173500412630847,0.41304347826086957,0.34782608695652173,0.2391304347826087
2019-11,2019-11,2019-11-01,2019,11,True,46,90,86,3.850497592022579,3.508931416173845,0.3415661758487338,0.4870115995115995,0.41304347826086957,0.41304347826086957,0.17391304347826086
2019-12,2019-12,2019-12-01,2019,12,True,41,146,75,5.8751460123370425,2.6890321941906614,3.186113818146381,0.37648389192506837,0.3170731707317073,0.5853658536585366,0.0975609756097561
2020-01,2020-01,2020-01-01,2020,1,True,41,100,100,4.736778164948938,3.6875770477439613,1.0492011172049769,0.46961250131981835,0.34146341463414637,0.4146341463414634,0.24390243902439024
2020-02,2020-02,2020-02-01,2020,2,True,45,104,99,3.6292532447906125,2.8449168016819013,0.7843364431087113,0.4473152156485489,0.3333333333333333,0.4666666666666667,0.2
2020-03,2020-03,2020-03-01,2020,3,True,43,154,139,5.518879589484887,4.570152451236088,0.9487271382487986,0.4845487132206839,0.3953488372093023,0.4418604651162791,0.16279069767441862
2020-04,2020-04,2020-04-01,2020,4,True,45,119,119,4.182287358003952,4.165664436113994,0.01662292188995844,0.5410352414470061,0.4888888888888889,0.4222222222222222,0.08888888888888889
2020-05,2020-05,2020-05-01,2020,5,True,44,80,106,2.8861157472627474,3.9336576901673115,-1.0475419429045645,0.5708255311006325,0.36363636363636365,0.25,0.38636363636363635
2020-06,2020-06,2020-06-01,2020,6,True,43,68,138,2.3093770126823387,3.579544332521264,-1.2701673198389254,0.5879748923047576,0.5813953488372093,0.27906976744186046,0.13953488372093023
2020-07,2020-07,2020-07-01,2020,7,True,41,133,111,4.435371087403512,3.4829117847589615,0.9524593026445503,0.46001016260162597,0.3902439024390244,0.5121951219512195,0.0975609756097561
2020-08,2020-08,2020-08-01,2020,8,True,42,126,135,3.949844971063048,3.935078511979946,0.014766459083102288,0.49146271880485126,0.42857142857142855,0.42857142857142855,0.14285714285714285
