month_id,year,month,batch_id,raw_article_count,kept_article_count,dropped_article_count,keep_share,unique_source_count,total_word_count_kept,mean_word_count_kept,median_word_count_kept,duplicate_exact_count,duplicate_near_count,regional_variant_count,malformed_count,reader_letter_drop_count,commentary_noncore_drop_count,very_short_low_value_drop_count,source_top1,source_top1_count,source_top2,source_top2_count,source_top3,source_top3_count,freeze_status,notes,kept_share_of_raw,duplicate_burden,dropped_share,shock_month_flag,shock_window_flag_placeholder
2015-10,2015,10,2015-10,100,85,15,0.85,9,60007,705.965,593,2,0,5,0,1,7,0,Die Welt,15,Frankfurter Rundschau,15,Berliner Zeitung,12,frozen,,0.85,0.07,0.15,0,
2015-11,2015,11,2015-11,97,90,6,0.927835,9,59989,666.544,555.5,0,0,2,0,0,4,0,Die Welt,17,Der Tagesspiegel,14,Rheinische Post,14,frozen,,0.927835,0.020619,0.061856,0,
2015-12,2015,12,2015-12,97,91,6,0.938144,9,54031,593.747,492,2,0,1,0,0,3,0,Rheinische Post,22,"taz, die tageszeitung",16,Frankfurter Rundschau,15,frozen,,0.938144,0.030928,0.061856,0,
2016-01,2016,1,2016-01,94,79,15,0.840426,9,55161,698.241,596,1,0,4,0,0,10,0,Die Welt,15,Rheinische Post,12,Südwest Presse,12,frozen,,0.840426,0.053191,0.159574,1,
2016-02,2016,2,2016-02,96,85,10,0.885417,9,62395,734.059,587,1,0,7,0,0,2,0,Rheinische Post,17,Die Welt,16,Der Tagesspiegel,14,frozen,,0.885417,0.083333,0.104167,0,
2016-03,2016,3,2016-03,97,87,8,0.896907,9,52554,604.069,544,0,0,3,0,0,5,0,Die Welt,20,Rheinische Post,18,Berliner Zeitung,15,frozen,,0.896907,0.030928,0.082474,0,
2016-04,2016,4,2016-04,50,48,1,0.96,8,29573,616.104,481.5,0,0,0,0,0,1,0,Berliner Zeitung,10,Der Tagesspiegel,10,Rheinische Post,8,frozen,,0.96,0.0,0.02,0,
2016-05,2016,5,2016-05,50,47,3,0.94,9,33020,702.553,508,0,0,2,0,0,1,0,Rheinische Post,10,Die Welt,8,Frankfurter Rundschau,7,frozen,,0.94,0.04,0.06,0,
2016-06,2016,6,2016-06,50,44,6,0.88,9,25189,572.477,458.0,2,0,1,0,0,3,0,Rheinische Post,11,Der Tagesspiegel,8,"taz, die tageszeitung",7,frozen,,0.88,0.06,0.12,0,
2016-07,2016,7,2016-07,50,46,4,0.92,7,30363,660.065,595.5,2,0,0,0,0,2,0,Die Welt,16,Rheinische Post,7,Frankfurter Rundschau,6,frozen,,0.92,0.04,0.08,0,
2016-08,2016,8,2016-08,50,44,6,0.88,8,26947,612.432,523.0,0,0,0,0,0,6,0,"taz, die tageszeitung",10,Rheinische Post,9,Die Welt,7,frozen,,0.88,0.0,0.12,0,
2016-09,2016,9,2016-09,50,46,4,0.92,9,34450,748.913,627.5,0,0,1,0,0,3,0,Die Welt,13,Der Tagesspiegel,7,"taz, die tageszeitung",7,frozen,,0.92,0.02,0.08,0,
2016-10,2016,10,2016-10,50,45,4,0.9,9,31327,696.156,483,0,0,3,0,0,1,0,Rheinische Post,9,Berliner Zeitung,6,"taz, die tageszeitung",6,frozen,,0.9,0.06,0.08,0,
2016-11,2016,11,2016-11,50,49,1,0.98,8,26952,550.041,483,0,0,1,0,0,0,0,Rheinische Post,11,Frankfurter Rundschau,9,Der Tagesspiegel,8,frozen,,0.98,0.02,0.02,0,
2016-12,2016,12,2016-12,50,47,3,0.94,8,30626,651.617,589,0,0,2,0,0,1,0,Die Welt,11,Der Tagesspiegel,9,Frankfurter Rundschau,7,frozen,,0.94,0.04,0.06,0,
2017-01,2017,1,2017-01,50,43,7,0.86,9,24511,570.023,599,3,0,1,0,0,3,0,"taz, die tageszeitung",8,Die Welt,7,Rheinische Post,6,frozen,,0.86,0.08,0.14,0,
2017-02,2017,2,2017-02,50,45,5,0.9,9,29827,662.822,574,0,0,1,0,0,4,0,"taz, die tageszeitung",9,Frankfurter Rundschau,8,Der Tagesspiegel,7,frozen,,0.9,0.02,0.1,0,
2017-03,2017,3,2017-03,50,45,5,0.9,10,29583,657.4,615,0,0,1,0,0,4,0,Frankfurter Rundschau,9,Die Welt,8,Rheinische Post,6,frozen,,0.9,0.02,0.1,0,
2017-04,2017,4,2017-04,50,42,7,0.84,9,25138,598.524,499.5,1,0,2,0,0,4,0,Frankfurter Rundschau,11,Rheinische Post,10,"taz, die tageszeitung",5,frozen,,0.84,0.06,0.14,0,
2017-05,2017,5,2017-05,50,46,4,0.92,8,24382,530.043,456.0,1,0,0,0,0,3,0,Frankfurter Rundschau,10,"taz, die tageszeitung",9,Der Tagesspiegel,7,frozen,,0.92,0.02,0.08,0,
2017-06,2017,6,2017-06,50,41,9,0.82,9,31439,766.805,591,0,0,5,0,0,4,0,Die Welt,8,"taz, die tageszeitung",8,Rheinische Post,7,frozen,,0.82,0.1,0.18,0,
2017-07,2017,7,2017-07,50,48,2,0.96,10,36079,751.646,584.0,0,0,0,0,0,2,0,Rheinische Post,8,Berliner Zeitung,7,Der Tagesspiegel,7,frozen,,0.96,0.0,0.04,0,
2017-08,2017,8,2017-08,50,45,5,0.9,10,26504,588.978,507,0,0,2,0,0,3,0,Berliner Zeitung,8,Frankfurter Rundschau,8,Die Welt,7,frozen,,0.9,0.04,0.1,0,
2017-09,2017,9,2017-09,50,45,5,0.9,9,26670,592.667,498,0,1,1,0,0,3,0,Frankfurter Rundschau,9,Nordwest-Zeitung,7,Berliner Zeitung,5,frozen,,0.9,0.04,0.1,0,
2017-10,2017,10,2017-10,50,43,7,0.86,10,33173,771.465,671,2,0,1,0,0,4,0,Die Welt,10,Rheinische Post,8,Frankfurter Rundschau,6,frozen,,0.86,0.06,0.14,0,
2017-11,2017,11,2017-11,50,45,5,0.9,10,25910,575.778,508,0,0,2,0,0,3,0,Rheinische Post,9,"taz, die tageszeitung",8,Berliner Zeitung,5,frozen,,0.9,0.04,0.1,0,
2017-12,2017,12,2017-12,50,45,5,0.9,10,26278,583.956,539,0,0,1,0,0,4,0,Der Tagesspiegel,11,Rheinische Post,10,Frankfurter Rundschau,6,frozen,,0.9,0.02,0.1,0,
2018-01,2018,1,2018-01,50,45,5,0.9,10,31842,707.6,632,0,0,2,0,0,3,0,Die Welt,10,Südwest Presse,7,Berliner Zeitung,6,frozen,,0.9,0.04,0.1,0,
