sample,lag_months,x_variable,y_variable,correlation,n_used,notes
dawum,0,media_salience_log1p_lag0,afd_poll_support_mean,0.16625917228657858,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,0,media_salience_log1p_lag0,afd_poll_support_change,-0.019950203548023574,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,1,media_salience_z_lag1,afd_poll_support_mean,0.06387436239302466,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,1,media_salience_z_lag1,afd_poll_support_change,0.0010780450442215146,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,1,media_salience_log1p_lag1,afd_poll_support_mean,0.1628119295690272,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,1,media_salience_log1p_lag1,afd_poll_support_change,0.029964055032956915,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,2,media_salience_z_lag2,afd_poll_support_mean,0.041835846576731714,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,2,media_salience_z_lag2,afd_poll_support_change,-0.13760990214811536,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,2,media_salience_log1p_lag2,afd_poll_support_mean,0.14484992518494216,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,2,media_salience_log1p_lag2,afd_poll_support_change,-0.0880538371613015,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,3,media_salience_z_lag3,afd_poll_support_mean,0.022258260429214513,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,3,media_salience_z_lag3,afd_poll_support_change,-0.12156599241863822,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,3,media_salience_log1p_lag3,afd_poll_support_mean,0.1300247791316972,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,3,media_salience_log1p_lag3,afd_poll_support_change,-0.07908458977276882,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,4,media_salience_z_lag4,afd_poll_support_mean,-0.007398583883917779,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,4,media_salience_z_lag4,afd_poll_support_change,-0.15892478613121513,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,4,media_salience_log1p_lag4,afd_poll_support_mean,0.10923572627328672,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,4,media_salience_log1p_lag4,afd_poll_support_change,-0.10120634865875383,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,5,media_salience_z_lag5,afd_poll_support_mean,-0.04309568844120018,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,5,media_salience_z_lag5,afd_poll_support_change,-0.16578535096730324,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,5,media_salience_log1p_lag5,afd_poll_support_mean,0.07901332702763218,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,5,media_salience_log1p_lag5,afd_poll_support_change,-0.1035957150342501,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,6,media_salience_z_lag6,afd_poll_support_mean,-0.059191601647513394,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,6,media_salience_z_lag6,afd_poll_support_change,-0.05934835514082585,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,6,media_salience_log1p_lag6,afd_poll_support_mean,0.06501720489049626,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,6,media_salience_log1p_lag6,afd_poll_support_change,-0.012687036090288949,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
