batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Demonstration in Kleve_ „Zusammen gegen Rechts“ Am 21. Januar ist eine Demo vor dem Klever Bahnhof a.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demonstration in Kleve_ „Zusammen gegen Rechts“ Am 21. Januar ist eine Demo vor dem Klever Bahnhof a.PDF,Demonstration in Kleve: „Zusammen gegen Rechts“ Am 21. Januar ist eine Demo vor dem Klever Bahnhof,demonstration in kleve zusammen gegen rechts am 21 januar ist eine demo vor dem klever bahnhof,Rheinische Post,rheinische post,Donnerstag 18. Januar 2024,Ludwig Krause,289,2009,170df7be34e310ef6558daaad951b2d94de624f7,,unique,keep,,no,,no,,,S. 16,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Demos gegen Rechts.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demos gegen Rechts.PDF,Demos gegen Rechts,demos gegen rechts,Berliner Zeitung,berliner zeitung,15. Januar 2024,,575,4233,44afe254acb38c35927b8bb21b8e5e867be073e4,,unique,keep,,no,,no,,,POLITIK; S. 14,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Der falsche Ort Heute beginnt die Berlinale - und die AfD muss draußen bleiben. So wollen es die Hau.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Der falsche Ort Heute beginnt die Berlinale - und die AfD muss draußen bleiben. So wollen es die Hau.PDF,Der falsche Ort; Heute beginnt die Berlinale - und die AfD muss draußen bleiben. So wollen es die Hausherren.,der falsche ort heute beginnt die berlinale  und die afd muss draussen bleiben so wollen es die hausherren,Die Welt,die welt,Donnerstag 15. Februar 2024,Deniz Yücel,2211,15906,f78032dfcf4c1708325a7c8a0015c830bd71fb31,,unique,keep,,no,,no,,,Kultur; S. 14; Ausg. 33,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Der Konservative in der Braunzone Immer mehr Details zu den rechtsextremen Verbindungen des ehemalig.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Der Konservative in der Braunzone Immer mehr Details zu den rechtsextremen Verbindungen des ehemalig.PDF,Der Konservative in der Braunzone Immer mehr Details zu den rechtsextremen Verbindungen des ehemaligen,der konservative in der braunzone immer mehr details zu den rechtsextremen verbindungen des ehemaligen,"taz, die tageszeitung",taz die tageszeitung,Freitag 26. Januar 2024,Gareth Joswig,1144,8135,bc31d1f3c5f1125e0b2dc69023ce6c9aedc4cba4,,unique,keep,,no,,no,,,BERLINER THEMA; S. 23,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"Der Nazi aus Österreich soll zu Hause bleiben Mehmet Daimagüler, Antiziganismusbeauftragter der Bund.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Der Nazi aus Österreich soll zu Hause bleiben Mehmet Daimagüler, Antiziganismusbeauftragter der Bund.PDF","Der Nazi aus Österreich soll zu Hause bleiben; Mehmet Daimagüler, Antiziganismusbeauftragter der",der nazi aus österreich soll zu hause bleiben mehmet daimagüler antiziganismusbeauftragter der,"taz, die tageszeitung",taz die tageszeitung,Mittwoch 24. Januar 2024,Konrad Litschko,523,4016,5b190c7b2db3e55afc8e1b169cc4589c6fee8377,,unique,keep,,no,,no,,,INLAND; S. 6,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Der Protest 2024.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Der Protest 2024.PDF,Der Protest 2024,der protest 2024,Der Tagesspiegel,der tagesspiegel,Montag 22. Januar 2024,,394,3066,ca818e5cac767943537ff50df44c1e892b7e5512,,unique,keep,,no,,no,,,POLITIK; Politik; S. 5,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Der Wert der Demokratie von unten.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Der Wert der Demokratie von unten.PDF,Der Wert der Demokratie von unten,der wert der demokratie von unten,Der Tagesspiegel,der tagesspiegel,Sonntag 28. Januar 2024,,578,4253,ce9b48cc309ffc34bf4a0ae3b1bb2f2124fe697f,,unique,drop,commentary_noncore,no,,no,,,MEINUNG; Meinung; S. 3,yes,commentary_noncore
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Deutsche Gewalt im Osten.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Deutsche Gewalt im Osten.PDF,Deutsche Gewalt im Osten,deutsche gewalt im osten,Der Tagesspiegel,der tagesspiegel,Donnerstag 22. Februar 2024,,950,7071,1b59a5ae0dc2a2495e351dab9f3e459848aa1bd0,,unique,keep,,no,,no,,,WISSENSCHAFT IN BERLIN; S. B28,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Deutsche Widerstände Es gibt zwei Protestkulturen im Land_ Im Westen herrscht noch Scham über den au.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Deutsche Widerstände Es gibt zwei Protestkulturen im Land_ Im Westen herrscht noch Scham über den au.PDF,Deutsche Widerstände; Es gibt zwei Protestkulturen im Land: Im Westen herrscht noch Scham über den,deutsche widerstände es gibt zwei protestkulturen im land im westen herrscht noch scham über den,Die ZEIT (inklusive ZEIT Magazin),die zeit inklusive zeit magazin,1. Februar 2024,Florian Eichel,1429,10794,309144e99a9d013b8b01afb663cf33ae1dd48d50,,unique,keep,,no,,no,,,FEUILLETON;Deutsche Widerstände; S. 43; Ausg. 6,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"Deutschland hat einen Migrationsvordergrund Hussam Al Zaher Hamburger, aber halal.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Deutschland hat einen Migrationsvordergrund Hussam Al Zaher Hamburger, aber halal.PDF","Deutschland hat einen Migrationsvordergrund Hussam Al Zaher Hamburger, aber halal",deutschland hat einen migrationsvordergrund hussam al zaher hamburger aber halal,"taz, die tageszeitung",taz die tageszeitung,Dienstag 30. Januar 2024,Hussam Al Zaher,662,4455,9dcbb03e73e71d2ae782e33a7cd2515c0f96b681,,unique,keep,,no,,no,,,NORD AKTUELL; S. 26-27,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Deutschland in Demolaune Zehntausende gehen in Köln gegen rechts auf die Straße. Weitere Demos sind.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Deutschland in Demolaune Zehntausende gehen in Köln gegen rechts auf die Straße. Weitere Demos sind.PDF,Deutschland in Demolaune Zehntausende gehen in Köln gegen rechts auf die Straße. Weitere Demos sind am,deutschland in demolaune zehntausende gehen in köln gegen rechts auf die strasse weitere demos sind am,"taz, die tageszeitung",taz die tageszeitung,Donnerstag 18. Januar 2024,Anastasia Zejneli,714,5015,e32e88db7c2933c4b4472e60d6583a3a79e9c89d,,unique,keep,,no,,no,,,SCHWERPUNKT; S. 5,no,
