batch_id,month_folder,archive_found,archive_name,pdf_count,processed,kept_count,dropped_count,review_count,status,error_message,run_timestamp
2020-09,2020-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-10,2020-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-11,2020-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-12,2020-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-01,2021-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-02,2021-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-03,2021-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-04,2021-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-05,2021-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-06,2021-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-07,2021-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-08,2021-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-09,2021-09,yes,2021-09(75).ZIP,75,no,63,12,0,skipped_existing,,2026-04-28T01:20:32
2021-10,2021-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-11,2021-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2021-12,2021-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-01,2022-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-02,2022-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-03,2022-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-04,2022-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-05,2022-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-06,2022-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-07,2022-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-08,2022-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-09,2022-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-10,2022-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-11,2022-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2022-12,2022-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-01,2023-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-02,2023-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-03,2023-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-04,2023-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-05,2023-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-06,2023-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-07,2023-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-08,2023-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-09,2023-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-10,2023-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-11,2023-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2023-12,2023-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
