batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De(2).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De(2).PDF,Unbehelligt von der Polizei; Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der,unbehelligt von der polizei die bilanz der ordnungshüter in chemnitz ist verheerend die zahl der,Berliner Zeitung,berliner zeitung,29. August 2018,,651,4907,cbbaf801e98910732fa0df20798a4f587b3eb76d,variant_015,regional_variant,drop,regional_variant,no,,no,,Dropped in favor of representative file: Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF (variant_015).,THEMA; S. 2; Ausg. 201,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der,unbehelligt von der polizei die bilanz der ordnungshüter in chemnitz ist verheerend die zahl der,Berliner Zeitung,berliner zeitung,29. August 2018,Annika Leister,656,4947,02a80193396efeb14dc25fe7fe005e80c380c45c,variant_015,regional_variant,keep,,yes,longest_usable_body,no,,Representative kept for variant_015.,THEMA; S. 2; Ausg. 201,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Unruhige Zeiten in Chemnitz Fremdenfeindlichkeit Rund 8000 Demonstranten   und 3000 Gegendemonstrant.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Unruhige Zeiten in Chemnitz Fremdenfeindlichkeit Rund 8000 Demonstranten   und 3000 Gegendemonstrant.PDF,Unruhige Zeiten in Chemnitz Fremdenfeindlichkeit Rund 8000 Demonstranten und 3000,unruhige zeiten in chemnitz fremdenfeindlichkeit rund 8000 demonstranten und 3000,Nordwest-Zeitung,nordwestzeitung,03. September 2018,,503,3561,d44824a8ebbf3d631a3440e833c8d3f486ec33fb,,unique,keep,,no,,no,,,NACHRICHTEN POLITIK; S. 2,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten si.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten si.PDF,Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten sich die,verdächtiger auf freiem fuss der 22jährige iraker wird aus der haft entlassen dagegen verdichten sich die,Südwest Presse,südwest presse,Mittwoch 19. September 2018,,382,2822,90d7c0eb96e532d7544bbec8ac3729b703e6d59d,near_016,duplicate_near,keep,,yes,longest_usable_body,no,,Representative kept for near_016.,Politik,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Verdächtiger in Chemnitz auf freiem Fuß Tatverdacht gegen zweiten Beschuldigten erhärtet.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Verdächtiger in Chemnitz auf freiem Fuß Tatverdacht gegen zweiten Beschuldigten erhärtet.PDF,Verdächtiger in Chemnitz auf freiem Fuß Tatverdacht gegen zweiten Beschuldigten erhärtet,verdächtiger in chemnitz auf freiem fuss tatverdacht gegen zweiten beschuldigten erhärtet,Berliner Zeitung,berliner zeitung,19. September 2018,dpa,373,2798,ec56c23cf43a3d0946e421f715f332bd3706acbb,,unique,keep,,no,,no,,,POL; S. 4; Ausg. 219,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Verdächtiger von Chemnitz auf freiem Fuß.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Verdächtiger von Chemnitz auf freiem Fuß.PDF,Verdächtiger von Chemnitz auf freiem Fuß,verdächtiger von chemnitz auf freiem fuss,Frankfurter Rundschau,frankfurter rundschau,Mittwoch 19. September 2018,,344,2521,f775d9420765535d995fb15c52b9dd26f846caf5,near_016,duplicate_near,drop,duplicate_near,no,,no,,Dropped in favor of representative file: Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten si.PDF (near_016).,POLITIK; S. 4,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Verletzte bei neuen Aufmärschen in Chemnitz.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Verletzte bei neuen Aufmärschen in Chemnitz.PDF,Verletzte bei neuen Aufmärschen in Chemnitz,verletzte bei neuen aufmärschen in chemnitz,Der Tagesspiegel,der tagesspiegel,Dienstag 28. August 2018,,245,1779,f6e25eeaedcb33d3c1c5307581f98f6a88ef405e,,unique,keep,,no,,no,,,TITEL; S. 1; Ausg. 23573,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Vertrauen schwindet.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Vertrauen schwindet.PDF,Vertrauen schwindet,vertrauen schwindet,Nordwest-Zeitung,nordwestzeitung,15. September 2018,,197,1530,2ef18d2443950819fc44391a95cac855918e146b,,unique,drop,reader_letter,no,,no,,,LESERFORUM; S. 60,yes,reader_letter
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Verwundertes Augenreiben.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Verwundertes Augenreiben.PDF,Verwundertes Augenreiben,verwundertes augenreiben,Nordwest-Zeitung,nordwestzeitung,13. September 2018,,430,2792,91fdd52a749be373e1b0055bde5c83abf2bf3db7,,unique,drop,commentary_noncore,no,,no,,,MEINUNG; S. 4,yes,commentary_noncore
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Vollzugsbeamter suspendiert Extremismus Haftbefehl weitergegeben   Weitere Kundgebung in Chemnitz.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Vollzugsbeamter suspendiert Extremismus Haftbefehl weitergegeben   Weitere Kundgebung in Chemnitz.PDF,Vollzugsbeamter suspendiert; Extremismus Haftbefehl weitergegeben Weitere Kundgebung in Chemnitz,vollzugsbeamter suspendiert extremismus haftbefehl weitergegeben weitere kundgebung in chemnitz,Nordwest-Zeitung,nordwestzeitung,31. August 2018,,314,2471,c0e3f58e5edde81b2e23f722b9678729b33e8b1f,,unique,keep,,no,,no,,,NACHRICHTEN POLITIK; S. 3,no,
