month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2014-04,2014-04,2014,4,102,102,4.634728988229636,-0.5144431501058004,50,0.49019607843137253,False,False,48,48,0.47058823529411764,3.8918202981106265,-0.4394395655985633
2014-05,2014-05,2014,5,143,143,4.969813299576001,-0.24418619831305305,50,0.34965034965034963,False,False,45,45,0.3146853146853147,3.828641396489095,-0.5996091268914975
2014-06,2014-06,2014,6,119,119,4.787491742782046,-0.4023853896063686,50,0.42016806722689076,False,False,49,49,0.4117647058823529,3.912023005428146,-0.3860497118342519
2014-07,2014-07,2014,7,155,155,5.049856007249537,-0.16508660266639527,50,0.3225806451612903,False,False,44,44,0.2838709677419355,3.8066624897703196,-0.652998980655809
2014-08,2014-08,2014,8,171,171,5.147494476813453,-0.05962047513751823,50,0.29239766081871343,False,False,45,45,0.2631578947368421,3.828641396489095,-0.5996091268914975
2014-09,2014-09,2014,9,217,217,5.384495062789089,0.24359464150800325,89,0.41013824884792627,False,True,80,80,0.3686635944700461,4.394449154672439,1.2690357548594018
2014-10,2014-10,2014,10,268,268,5.594711379601839,0.5797679230062988,50,0.1865671641791045,False,False,45,45,0.16791044776119404,3.828641396489095,-0.5996091268914975
2014-11,2014-11,2014,11,188,188,5.241747015059643,0.05243728536191362,95,0.5053191489361702,False,True,84,84,0.44680851063829785,4.442651256490317,1.4825951699166475
2014-12,2014-12,2014,12,221,221,5.402677381872279,0.2699611733902225,50,0.22624434389140272,False,False,47,47,0.21266968325791855,3.871201010907891,-0.4928294193628747
2015-01,2015-01,2015,1,221,221,5.402677381872279,0.2699611733902225,50,0.22624434389140272,False,False,47,47,0.21266968325791855,3.871201010907891,-0.4928294193628747
2015-02,2015-02,2015,2,215,215,5.375278407684165,0.23041137556689362,50,0.23255813953488372,False,False,46,46,0.21395348837209302,3.8501476017100584,-0.5462192731271861
2015-03,2015-03,2015,3,202,202,5.313205979041787,0.14472014694968102,50,0.24752475247524752,False,False,48,48,0.2376237623762376,3.8918202981106265,-0.4394395655985633
2015-04,2015-04,2015,4,269,269,5.598421958998375,0.5863595559768536,50,0.18587360594795538,False,False,45,45,0.16728624535315986,3.828641396489095,-0.5996091268914975
2015-05,2015-05,2015,5,257,257,5.552959584921617,0.5072599603301958,91,0.3540856031128405,False,True,83,83,0.3229571984435798,4.430816798843313,1.4292053161523361
2015-06,2015-06,2015,6,256,256,5.54907608489522,0.5006683273596411,96,0.375,False,True,84,84,0.328125,4.442651256490317,1.4825951699166475
2015-07,2015-07,2015,7,438,438,6.0844994130751715,1.700345528000617,90,0.2054794520547945,False,True,78,78,0.1780821917808219,4.3694478524670215,1.162256047330779
2015-08,2015-08,2015,8,687,687,6.5337888379333435,3.341662137668766,100,0.14556040756914118,False,True,88,88,0.12809315866084425,4.48863636973214,1.696154584973893
2015-09,2015-09,2015,9,1007,1007,6.915723448631314,5.450984688246307,96,0.09533267130089375,False,True,86,86,0.08540218470705065,4.465908118654584,1.5893748774452703
2015-10,2015-10,2015,10,891,891,6.79346613258001,4.686355263661948,100,0.1122334455667789,False,True,85,85,0.09539842873176206,4.454347296253507,1.535985023680959
2015-11,2015-11,2015,11,665,665,6.501289670540389,3.19664621231656,97,0.14586466165413534,False,True,90,90,0.13533834586466165,4.51085950651685,1.802934292502516
2015-12,2015-12,2015,12,581,581,6.366470447731438,2.642949042789956,97,0.16695352839931152,False,True,91,91,0.1566265060240964,4.5217885770490405,1.8563241462668274
2016-01,2016-01,2016,1,766,766,6.642486801367256,3.862401142342596,94,0.1227154046997389,False,True,79,79,0.1031331592689295,4.382026634673881,1.2156459010950904
2016-02,2016-02,2016,2,659,659,6.492239835020471,3.157096414493231,96,0.1456752655538695,False,True,85,85,0.12898330804248861,4.454347296253507,1.535985023680959
2016-03,2016-03,2016,3,496,496,6.208590026096629,2.0826602402927965,97,0.19556451612903225,False,True,87,87,0.17540322580645162,4.477336814478207,1.6427647312095817
